animalia_(book)	vulcan!
animal_farm	conan_the_freebooter
a_modest_proposal	sarajevo_tango
a_clockwork_orange	lullaby_(palahniuk_novel)
the_plague	charlie_siringo's_west
a_fire_upon_the_deep	the_absolute_(animorphs)
all_quiet_on_the_western_front	%22d%22
a_wizard_of_earthsea	ordinary_people_(novel)
ain't_i_a_woman%3f_(book)	the_hounds_of_the_morrigan
blade_runner_3:_replicant_night	demian
the_white_abacus	the_white_abacus
escape_(david_mcmillan_book)	escape_(david_mcmillan_book)
the_english_patient	the_english_patient
the_mirror_of_love	the_mirror_of_love
inventing_the_aids_virus	inventing_the_aids_virus
the_black_curtain	the_black_curtain
battlesystem_skirmishes	battlesystem_skirmishes
nova_1	nova_1
the_mystery_of_banking	the_mystery_of_banking
spires_of_spirit	spires_of_spirit
