context	nb sameas	all_pair	ratio
['wascreatedondate', 'wascreatedonyear']['skos:preflabel']['actedin-inv', 'created-inv', 'directed-inv', 'edited-inv', 'wrotemusicfor-inv']	221	2066	0.10696999031945789
['wascreatedondate', 'wascreatedonyear']['skos:preflabel']['actedin-inv', 'created-inv', 'edited-inv']	1	12	0.08333333333333333
['wascreatedondate', 'wascreatedonyear']['skos:preflabel']['actedin-inv', 'created-inv', 'directed-inv', 'edited-inv', 'islocatedin', 'wrotemusicfor-inv']	50	760	0.06578947368421052
['wascreatedondate', 'wascreatedonyear'][]['actedin-inv', 'created-inv', 'directed-inv', 'skos:preflabel']	85	196	0.4336734693877551
['wascreatedondate', 'wascreatedonyear']['skos:preflabel']['actedin-inv', 'created-inv', 'directed-inv']	291	1737	0.16753022452504318
['wascreatedondate', 'wascreatedonyear']['skos:preflabel']['actedin-inv', 'created-inv', 'directed-inv', 'wrotemusicfor-inv']	241	2651	0.09090909090909091
['wascreatedondate', 'wascreatedonyear']['skos:preflabel']['actedin-inv', 'created-inv', 'directed-inv', 'islocatedin', 'wrotemusicfor-inv']	99	1312	0.07545731707317073
['wascreatedondate', 'wascreatedonyear']['skos:preflabel']['actedin-inv']	33	609	0.054187192118226604
['wascreatedondate', 'wascreatedonyear']['skos:preflabel']['actedin-inv', 'created-inv', 'directed-inv', 'islocatedin']	67	909	0.0737073707370737
['wascreatedondate', 'wascreatedonyear']['skos:preflabel', 'wascreatedondate', 'wascreatedonyear']['actedin-inv', 'created-inv', 'directed-inv', 'wrotemusicfor-inv']	10	324	0.030864197530864196
['wascreatedondate', 'wascreatedonyear']['skos:preflabel']['actedin-inv', 'islocatedin', 'wrotemusicfor-inv']	15	226	0.06637168141592921
['wascreatedondate', 'wascreatedonyear']['skos:preflabel']['actedin-inv', 'directed-inv', 'wrotemusicfor-inv']	44	430	0.10232558139534884
['wascreatedondate', 'wascreatedonyear']['skos:preflabel']['created-inv', 'directed-inv', 'edited-inv', 'islocatedin', 'wrotemusicfor-inv']	11	88	0.125
['wascreatedondate', 'wascreatedonyear']['skos:preflabel']['created-inv', 'directed-inv', 'islocatedin']	18	146	0.1232876712328767
['wascreatedondate', 'wascreatedonyear']['skos:preflabel']['islocatedin']	11	144	0.0763888888888889
['wascreatedondate', 'wascreatedonyear'][]['islocatedin', 'skos:preflabel']	4	12	0.3333333333333333
['wascreatedondate', 'wascreatedonyear']['skos:preflabel']['actedin-inv', 'islocatedin']	18	243	0.07407407407407407
['wascreatedondate', 'wascreatedonyear'][]['actedin-inv', 'directed-inv', 'skos:preflabel', 'wrotemusicfor-inv']	1	10	0.1
