context	nb sameas	all_pair	ratio
[]['skos:preflabel']['hasmotto', 'islocatedin', 'wascreatedonyear']	166	10276836	1.615283147459004e-05
[]['skos:preflabel']['islocatedin', 'wascreatedonyear']	379	23820314	1.5910789421163802e-05
[][]['graduatedfrom-inv', 'islocatedin', 'skos:preflabel', 'wascreatedonyear']	284	7624933	3.7246228917683605e-05
[][]['islocatedin', 'skos:preflabel', 'wascreatedonyear']	26	426991	6.0891213163743496e-05
[]['skos:preflabel']['graduatedfrom-inv', 'islocatedin', 'wascreatedonyear']	13	7029332	1.849393370522263e-06
[][]['graduatedfrom-inv', 'skos:preflabel', 'wascreatedonyear']	64	9680587	6.611169343346638e-06
[]['skos:preflabel']['islocatedin']	89	15030914	5.921130278571217e-06
[][]['graduatedfrom-inv', 'hasmotto', 'islocatedin', 'skos:preflabel', 'wascreatedonyear']	102	2263960	4.50537995370943e-05
[]['skos:preflabel']['graduatedfrom-inv', 'hasmotto', 'islocatedin', 'owns', 'wascreatedonyear']	1	814357	1.2279626748465354e-06
[]['graduatedfrom-inv']['islocatedin', 'skos:preflabel', 'wascreatedonyear']	73	2134729	3.4196378088272566e-05
[]['skos:preflabel']['wascreatedonyear']	39	1523068	2.560621062224405e-05
[][]['hasmotto', 'islocatedin', 'playsfor-inv', 'skos:preflabel', 'wascreatedonyear']	11	179289	6.135345726731701e-05
[]['graduatedfrom-inv']['islocatedin', 'owns', 'skos:preflabel', 'wascreatedonyear']	4	423791	9.438614788893581e-06
[][]['graduatedfrom-inv', 'islocatedin', 'skos:preflabel', 'wascreatedondate', 'wascreatedonyear']	23	501268	4.588363909126455e-05
[]['graduatedfrom-inv']['skos:preflabel', 'wascreatedonyear']	9	604465	1.488919954008917e-05
[][]['graduatedfrom-inv', 'hasmotto', 'islocatedin', 'skos:preflabel', 'wascreatedondate', 'wascreatedonyear']	11	266260	4.131300232855104e-05
[]['graduatedfrom-inv', 'skos:preflabel']['islocatedin', 'wascreatedonyear']	5	371210	1.346946472347189e-05
[]['skos:preflabel']['hasmotto', 'wascreatedonyear']	8	462340	1.7303283298005796e-05
[]['skos:preflabel']['hasmotto', 'islocatedin']	22	6347074	3.466164093880109e-06
[][]['islocatedin', 'playsfor-inv', 'skos:preflabel', 'wascreatedonyear']	22	608528	3.6152814660952333e-05
[][]['graduatedfrom-inv', 'hasmotto', 'islocatedin', 'owns', 'skos:preflabel', 'wascreatedonyear']	2	225948	8.851594172110397e-06
[][]['graduatedfrom-inv', 'skos:preflabel', 'wascreatedondate', 'wascreatedonyear']	5	483054	1.0350809640330066e-05
[][]['graduatedfrom-inv', 'skos:preflabel']	10	6331431	1.5794217768463402e-06
[]['skos:preflabel']['islocatedin', 'wascreatedondate', 'wascreatedonyear']	4	2017865	1.982293166292096e-06
[]['graduatedfrom-inv']['islocatedin', 'skos:preflabel', 'wascreatedondate', 'wascreatedonyear']	9	219164	4.106513843514446e-05
