context	nb sameas	all_pair	ratio
[]['skos:preflabel']['actedin']	80	7362689	1.0865595436667229e-05
[]['skos:preflabel']['wasbornonyear']	189	14256080	1.325750136082289e-05
[]['skos:preflabel']['diedonyear', 'wasbornonyear']	87	6905845	1.259802384791434e-05
[]['skos:preflabel'][]	237	12326164	1.9227393047828992e-05
[]['skos:preflabel']['actedin', 'wasbornonyear']	80	8968224	8.920383790592207e-06
[]['skos:preflabel', 'wasbornonyear']['actedin', 'wasbornondate']	3	4658180	6.44028354421684e-07
[]['skos:preflabel']['actedin', 'diedonyear', 'wasbornonyear']	58	4342766	1.3355543448576322e-05
[]['skos:preflabel', 'wasbornin', 'wasbornondate', 'wasbornonyear'][]	1	6032046	1.6578122912192645e-07
[]['skos:preflabel']['actedin', 'wasbornin']	7	2369044	2.9547783831790375e-06
[]['skos:preflabel']['diedonyear', 'wasbornin', 'wasbornondate', 'wasbornonyear']	1	401481	2.490777894844339e-06
[]['skos:preflabel']['diedonyear', 'wasbornin', 'wasbornonyear']	2	1436214	1.3925501352862455e-06
[]['skos:preflabel']['wasbornin', 'wasbornondate', 'wasbornonyear']	5	23733722	2.1067070727465334e-07
[]['skos:preflabel']['actedin', 'wasbornin', 'wasbornonyear']	18	3936760	4.572287871244373e-06
[]['skos:preflabel']['wasbornin', 'wasbornonyear']	19	4521111	4.202506861698375e-06
[]['actedin', 'skos:preflabel']['wasbornonyear']	5	695577	7.1882767831598805e-06
[]['skos:preflabel']['iscitizenof', 'wasbornonyear']	6	282763	2.1219183556547357e-05
[]['skos:preflabel']['created', 'wasbornonyear']	6	419873	1.4290035320203966e-05
[]['skos:preflabel']['wasbornin']	15	2500065	5.9998440040558945e-06
[]['actedin', 'skos:preflabel']['diedonyear', 'wasbornonyear']	2	336097	5.95066305263064e-06
[]['skos:preflabel']['actedin', 'created']	2	309988	6.451862652747848e-06
[]['skos:preflabel']['diedin', 'diedonyear', 'directed', 'wasbornin', 'wasbornonyear']	1	19142	5.224114512590116e-05
[]['skos:preflabel']['actedin', 'created', 'wasbornonyear']	4	402146	9.94663629627051e-06
[]['skos:preflabel']['diedin', 'diedonyear', 'wasbornonyear']	2	181207	1.1037101215736699e-05
[]['skos:preflabel']['diedin', 'diedonyear', 'wasbornin', 'wasbornonyear']	10	620308	1.6121023749492187e-05
[]['skos:preflabel']['actedin', 'ismarriedto', 'ismarriedto-inv', 'wasbornonyear']	3	45824	6.546787709497207e-05
[]['skos:preflabel']['diedonyear']	12	238394	5.033683733651015e-05
[]['actedin', 'skos:preflabel']['ismarriedto', 'wasbornonyear']	1	30481	3.2807322594403074e-05
[]['skos:preflabel']['actedin', 'diedonyear', 'directed', 'wasbornonyear']	2	103098	1.9399018409668472e-05
[]['actedin', 'skos:preflabel'][]	3	390633	7.67984271682116e-06
[]['skos:preflabel']['created']	4	339365	1.1786719314012936e-05
[]['skos:preflabel']['actedin', 'ismarriedto-inv', 'wasbornonyear']	1	179766	5.56278717888811e-06
[]['directed', 'skos:preflabel'][]	1	246	0.0040650406504065045
[]['skos:preflabel']['diedonyear', 'directed', 'wasbornonyear']	1	113191	8.834624660971278e-06
[]['skos:preflabel']['actedin', 'diedonyear', 'wasbornin', 'wasbornonyear']	3	1370037	2.189721883423586e-06
[]['skos:preflabel']['diedonyear', 'ismarriedto', 'wasbornonyear']	1	122395	8.170268393316721e-06
[]['skos:preflabel', 'wasbornondate', 'wasbornonyear']['actedin', 'wasbornin']	1	14390846	6.94886179728419e-08
[]['skos:preflabel']['iscitizenof']	1	247728	4.0366853968869085e-06
[]['actedin', 'skos:preflabel']['diedin', 'diedonyear', 'wasbornin', 'wasbornonyear']	1	44004	2.2725206799381876e-05
