p,o
http://dbpedia.org/ontology/abstract,"Cambridge Regional College FC (celým názvem: Cambridge Regional College Football Club) byl anglický fotbalový klub, který sídlil ve městě Cambridge v nemetropolitním hrabství Cambridgeshire. Jednalo se o rezervní tým Cambridge United FC. Založen byl v roce 2006, zanikl v roce 2014. Klubové barvy byly oranžová a černá.1 Své domácí zápasy odehrával na Abbey Stadium s kapacitou 10 847 diváků."
http://dbpedia.org/ontology/abstract,"Cambridge Regional College Football Club was a football club based in Cambridge, England. The club were members of the Eastern Counties League Premier Division and played at the Abbey Stadium."
http://dbpedia.org/ontology/capacity,10847
http://dbpedia.org/ontology/ground,http://dbpedia.org/resource/Abbey_Stadium
http://dbpedia.org/ontology/ground,http://dbpedia.org/resource/Cambridge
http://dbpedia.org/ontology/league,http://dbpedia.org/resource/Eastern_Counties_Football_League
http://dbpedia.org/ontology/position,http://dbpedia.org/resource/Eastern_Counties_Football_League
http://dbpedia.org/ontology/wikiPageID,5622061
http://dbpedia.org/ontology/wikiPageLength,3253
http://dbpedia.org/ontology/wikiPageRevisionID,946849224
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Abbey_Stadium
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Association_football
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Cambridge
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Cambridge_City_F.C.
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Cambridge_United_F.C.
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:2006_establishments_in_England
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:2014_disestablishments_in_England
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:Association_football_clubs_disestablished_in_2014
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:Association_football_clubs_established_in_2006
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:Cambridge_Regional_College_F.C._players
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:Cambridge_United_F.C.
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:Defunct_football_clubs_in_Cambridgeshire
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:Defunct_football_clubs_in_England
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:Eastern_Counties_Football_League
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:Sport_in_Cambridge
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Eastern_Counties_Football_League
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/England
http://dbpedia.org/property/body,FF8800
http://dbpedia.org/property/body,FFFFFF
http://dbpedia.org/property/capacity,10847
http://dbpedia.org/property/clubname,Cambridge Regional College
http://dbpedia.org/property/dissolved,2014
http://dbpedia.org/property/founded,2006
http://dbpedia.org/property/fullname,Cambridge Regional College Football Club
http://dbpedia.org/property/ground,http://dbpedia.org/resource/Abbey_Stadium
http://dbpedia.org/property/ground,http://dbpedia.org/resource/Cambridge
http://dbpedia.org/property/imageSize,110
http://dbpedia.org/property/league,http://dbpedia.org/resource/Eastern_Counties_Football_League
http://dbpedia.org/property/league,Premier Division
http://dbpedia.org/property/leftarm,FF8800
http://dbpedia.org/property/leftarm,FFFFFF
http://dbpedia.org/property/manager,Mark Bonner
http://dbpedia.org/property/nickname,The Scholars
http://dbpedia.org/property/position,http://dbpedia.org/resource/Eastern_Counties_Football_League
http://dbpedia.org/property/position,"Premier Division, 14th"
http://dbpedia.org/property/rightarm,FF8800
http://dbpedia.org/property/rightarm,FFFFFF
http://dbpedia.org/property/season,2013
http://dbpedia.org/property/shorts,0
http://dbpedia.org/property/shorts,FFFFFF
http://dbpedia.org/property/socks,FF8800
http://dbpedia.org/property/socks,FFFFFF
