p,o
http://dbpedia.org/ontology/abstract,Cambridge United F.C. is een professionele voetbalclub uit Engeland en komt uit in de Football League One. De ploeg speelde daarvoor sinds het seizoen 2014/15 in de Football League Two en is ook bekend als Cambridge (waarbij het kleinere broertje Cambridge City voor het gemak over het hoofd wordt gezien).
http://dbpedia.org/ontology/abstract,"Cambridge United FC (celým názvem: Cambridge United Football Club) je anglický fotbalový klub, který sídlí ve městě Cambridge v nemetropolitním hrabství Cambridgeshire. Založen byl v roce 1912 pod názvem Abbey United FC. Od sezóny 2014/15 hraje v EFL League Two (4. nejvyšší soutěž). V letech 2006 – 2014 měl klub v polo-profesionálních ligových soutěžích vlastní rezervní tým, Cambridge Regional College FC. Své domácí zápasy odehrává na stadionu Abbey Stadium s kapacitou 8 127 diváků."
http://dbpedia.org/ontology/abstract,"Cambridge United FC är en engelsk professionell fotbollsklubb i Cambridge, grundad 1912. Hemmamatcherna spelas på Abbey Stadium. Smeknamnet är The U's. Klubben spelar i League Two."
http://dbpedia.org/ontology/abstract,"Cambridge United Football Club is a professional association football club based in the city of Cambridge, Cambridgeshire, England. From the 2021–22 season, the club will compete in League One, the third tier of the English football league system, following promotion from League Two. The club is based at the Abbey Stadium on Newmarket Road, approximately 1.86 miles (3 kilometres) east of Cambridge city centre. The stadium has a capacity of 8,127, made up of terracing and seated areas. The club was founded in 1912 as Abbey United, and took the name Cambridge United in 1951. They played in local amateur leagues before joining the Southern League after finishing as runners-up of the Eastern Counties League in 1957–58. Under Bill Leivers's stewardship they were crowned Southern League Premier Division champions in 1968–69 and 1969–70, which helped to secure their election into the Football League in 1970. They won promotion out of the Fourth Division in 1972–73, but suffered immediate relegation. They won the Fourth Division title in 1976–77, and then secured promotion out of the Third Division the following season. They remained in the Second Division for six seasons, before they suffered consecutive relegations. Manager John Beck led United to promotion out of the Fourth Division via play-offs in 1990 and then the Third Division title in 1990–91, with the club reaching the Second Division play-offs the following season. Two relegations in three years left Cambridge back in the fourth tier, before promotion was secured at the end of the 1998–99 campaign. They entered the Conference in 2005, after two relegations in four seasons, where they remained for nine seasons. They finished as Conference runners-up three times, being beaten in the play-off finals in 2008 and 2009, before eventually securing promotion after winning the 2014 play-off final. After spending seven seasons in League Two, Cambridge were promoted to League One as runners-up under Mark Bonner. Although the club has traditionally worn amber and black at home, it has experimented with a number of designs of shirts including plain amber with black trim, amber and black squares, stripes and, amber with a black sash. The club had close links with Cambridge Regional College, a team that operated as a de facto reserve team between 2006 and 2014. The Cambridge United Community Trust perform a lot of charity work in the local community."
http://dbpedia.org/ontology/abstract,"Cambridge United Football Club é um clube profissional inglês, baseado na cidade de Cambridge. O clube participa da Football League One que é o equivalente à terceira divisão do campeonato inglês.(recentemente colaborou com um adepto português para receber dinheiro) O clube por duas vezes alcançou a segunda divisão do campeonato, chegando em quinto lugar na temporada 1991-92, o que lhe deu o direito de disputar o playoff para promoção, no ano seguinte, da temporada inaugural da Premier League, mas o clube não teve êxito. Outras campanhas de destaque são as duas vezes em que o time alcançou as quartas-de-final da Copa da Inglaterra e a vez em que atingiu a mesma fase na Copa da Liga. O clube manda seus jogos no Abbey Stadium que fica localizado na Newmarket Road à 3 quilômetros a leste do centro da cidade de Cambridge, o estádio tem capacidade para 8.127 pessoas e é formado por terraços e áreas sentadas."
http://dbpedia.org/ontology/abstract,"Cambridge United Football Club – angielski klub piłkarski z miasta Cambridge, grający obecnie w League Two. Klub został założony w 1912 roku jako Abbey United. W 1992 roku Cambridge United występował nieudanie w barażach na awans do pierwszej ligi; w 2005 roku spadł z Football League Two do Football Conference"
http://dbpedia.org/ontology/abstract,"El Cambridge United Football Club es un club de fútbol británico, de la ciudad de Cambridge. Tradicionalmente el club ha jugado en Football League Two. A partir de la temporada 2021-22, competirán en la Football League One, luego de quedar subcampeones. El club fue fundado en 1912 bajo el nombre de Abbey United. El equipo adoptó el nombre de Cambridge United en 1951. Su primera competición en Football League fue en 1970. En la Football League Two disputó 35 temporadas hasta que descendió en 2005."
http://dbpedia.org/ontology/abstract,"El Cambridge United Football Club és un club de futbol anglès de la ciutat de Cambridge, Cambridgeshire."
http://dbpedia.org/ontology/abstract,"Il Cambridge United Football Club è una società calcistica inglese con sede nella città di Cambridge. Milita nella Football League One, la quarta divisione del campionato inglese di calcio."
http://dbpedia.org/ontology/abstract,"Le Cambridge United Football Club est un club de football professionnel situé à Cambridge, en Angleterre. Le club évolue depuis la saison 2014-2015 en EFL League Two (quatrième division anglaise). Le club atteint par deux fois les quarts de finale de la Coupe d'Angleterre, et une fois les quarts de finale de la Coupe de la ligue. Le club a des liens étroits avec l'Université Régionale de Cambridge, une équipe formé en 2006 qui concourt comme l'équipe de réserve d'United pour éviter les règles de la FA qui interdisent les équipes réserves jouant à certains niveaux de la pyramide de football. Le club est basé à l'Abbey Stadium sur la Route de Newmarket, approximativement à 3 km à l'est du centre-ville de Cambridge. Le stade a actuellement une capacité de 9 600 places."
