p,o
http://dbpedia.org/ontology/Person/height,188.0
http://dbpedia.org/ontology/abstract,Dimitar Veselinov Mitov (Bulgarian: Димитър Митов; born 22 January 1997) is a Bulgarian footballer who plays for EFL League One club Cambridge United as a goalkeeper.
http://dbpedia.org/ontology/birthDate,1997-01-22
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Bulgaria_national_football_team
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Kozloduy
http://dbpedia.org/ontology/careerStation,http://dbpedia.org/resource/Dimitar_Mitov__CareerStation__1
http://dbpedia.org/ontology/careerStation,http://dbpedia.org/resource/Dimitar_Mitov__CareerStation__2
http://dbpedia.org/ontology/careerStation,http://dbpedia.org/resource/Dimitar_Mitov__CareerStation__3
http://dbpedia.org/ontology/careerStation,http://dbpedia.org/resource/Dimitar_Mitov__CareerStation__4
http://dbpedia.org/ontology/careerStation,http://dbpedia.org/resource/Dimitar_Mitov__CareerStation__5
http://dbpedia.org/ontology/careerStation,http://dbpedia.org/resource/Dimitar_Mitov__CareerStation__6
http://dbpedia.org/ontology/careerStation,http://dbpedia.org/resource/Dimitar_Mitov__CareerStation__7
http://dbpedia.org/ontology/careerStation,http://dbpedia.org/resource/Dimitar_Mitov__CareerStation__8
http://dbpedia.org/ontology/height,1.88E0
http://dbpedia.org/ontology/number,1
http://dbpedia.org/ontology/position,http://dbpedia.org/resource/Goalkeeper_(association_football)
http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Bulgaria_national_under-17_football_team
http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Bulgaria_national_under-19_football_team
http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Cambridge_United_F.C.
http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Canvey_Island_F.C.
http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Charlton_Athletic_F.C.
http://dbpedia.org/ontology/team,http://dbpedia.org/resource/FC_Chavdar_Etropole
http://dbpedia.org/ontology/wikiPageID,54884438
http://dbpedia.org/ontology/wikiPageLength,8571
http://dbpedia.org/ontology/wikiPageRevisionID,1023498238
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/2014–15_Isthmian_League
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/2015–16_Charlton_Athletic_F.C._season
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/2016–17_Charlton_Athletic_F.C._season
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/2017–18_Cambridge_United_F.C._season
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/2017–18_EFL_League_Two
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/2018–19_Cambridge_United_F.C._season
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/2019–20_Cambridge_United_F.C._season
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/2020–21_Cambridge_United_F.C._season
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Association_football
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Bristol_Rovers_F.C.
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Bulgaria_national_football_team
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Bulgaria_national_under-17_football_team
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Bulgaria_national_under-19_football_team
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Bulgaria_national_under-21_football_team
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Cambridge_United_F.C.
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Canvey_Island_F.C.
