p,o
http://dbpedia.org/ontology/Person/height,187.0
http://dbpedia.org/ontology/abstract,Harvey Andrew Knibbs (born 26 April 1999) is an English professional footballer who plays for League Two club Cambridge United. Knibbs was born and raised in Derbyshire and joined the Nottingham Forest academy as a child before moving to Aston Villa. He signed his first professional contract at the end of the 2016–17 season. In June 2019 Knibbs signed a two-year contract with Cambridge United. On debut for Cambridge Knibbs scored the winning penalty as Championship side Brentford were defeated in the EFL Cup.
http://dbpedia.org/ontology/birthDate,1999-04-26
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Bristol
http://dbpedia.org/ontology/careerStation,http://dbpedia.org/resource/Harvey_Knibbs__CareerStation__1
http://dbpedia.org/ontology/careerStation,http://dbpedia.org/resource/Harvey_Knibbs__CareerStation__2
http://dbpedia.org/ontology/careerStation,http://dbpedia.org/resource/Harvey_Knibbs__CareerStation__3
http://dbpedia.org/ontology/careerStation,http://dbpedia.org/resource/Harvey_Knibbs__CareerStation__4
http://dbpedia.org/ontology/height,1.87E0
http://dbpedia.org/ontology/number,26
http://dbpedia.org/ontology/position,http://dbpedia.org/resource/Forward_(association_football)
http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Aston_Villa_F.C.
http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Cambridge_United_F.C.
http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Nottingham_Forest_F.C.
http://dbpedia.org/ontology/wikiPageID,61510033
http://dbpedia.org/ontology/wikiPageLength,4300
http://dbpedia.org/ontology/wikiPageRevisionID,1024516572
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/2019–20_Cambridge_United_F.C._season
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/2020–21_Cambridge_United_F.C._season
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Association_football
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Aston_Villa_F.C.
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Brentford_F.C.
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Bristol
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Cambridge_United_F.C.
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:1999_births
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:Association_football_forwards
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:Aston_Villa_F.C._players
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:Cambridge_United_F.C._players
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:English_Football_League_players
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:English_footballers
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:Footballers_from_Derbyshire
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:Living_people
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/EFL_Cup
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/EFL_League_Two
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/FA_Cup
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Forward_(association_football)
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Nottingham_Forest_F.C.
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Ralph_Knibbs
http://dbpedia.org/property/birthDate,1999-04-26
http://dbpedia.org/property/birthPlace,"Bristol, England"
http://dbpedia.org/property/caps,0
http://dbpedia.org/property/caps,47
http://dbpedia.org/property/clubUpdate,--03-03
http://dbpedia.org/property/clubnumber,26
http://dbpedia.org/property/clubs,http://dbpedia.org/resource/Aston_Villa_F.C.
http://dbpedia.org/property/clubs,http://dbpedia.org/resource/Cambridge_United_F.C.
http://dbpedia.org/property/currentclub,http://dbpedia.org/resource/Cambridge_United_F.C.
http://dbpedia.org/property/fullname,Harvey Andrew Knibbs
http://dbpedia.org/property/goals,0
http://dbpedia.org/property/goals,9
http://dbpedia.org/property/height,1.87m
http://dbpedia.org/property/name,Harvey Knibbs
http://dbpedia.org/property/position,http://dbpedia.org/resource/Forward_(association_football)
http://dbpedia.org/property/wikiPageUsesTemplate,http://dbpedia.org/resource/Template:0
http://dbpedia.org/property/wikiPageUsesTemplate,http://dbpedia.org/resource/Template:Authority_control
http://dbpedia.org/property/wikiPageUsesTemplate,http://dbpedia.org/resource/Template:Birth_date_and_age
http://dbpedia.org/property/wikiPageUsesTemplate,http://dbpedia.org/resource/Template:Cambridge_United_F.C._squad
http://dbpedia.org/property/wikiPageUsesTemplate,http://dbpedia.org/resource/Template:England-footy-forward-1990s-stub
http://dbpedia.org/property/wikiPageUsesTemplate,http://dbpedia.org/resource/Template:Infobox_football_biography
http://dbpedia.org/property/wikiPageUsesTemplate,http://dbpedia.org/resource/Template:Notelist
http://dbpedia.org/property/wikiPageUsesTemplate,http://dbpedia.org/resource/Template:Reflist
http://dbpedia.org/property/wikiPageUsesTemplate,http://dbpedia.org/resource/Template:Short_description
http://dbpedia.org/property/wikiPageUsesTemplate,http://dbpedia.org/resource/Template:Soccerbase
http://dbpedia.org/property/wikiPageUsesTemplate,http://dbpedia.org/resource/Template:Updated
http://dbpedia.org/property/years,2017
http://dbpedia.org/property/years,2019
http://dbpedia.org/property/youthclubs,http://dbpedia.org/resource/Aston_Villa_F.C.
http://dbpedia.org/property/youthclubs,http://dbpedia.org/resource/Nottingham_Forest_F.C.
http://dbpedia.org/property/youthyears,–2017
http://purl.org/dc/terms/subject,http://dbpedia.org/resource/Category:1999_births
http://purl.org/dc/terms/subject,http://dbpedia.org/resource/Category:Association_football_forwards
http://purl.org/dc/terms/subject,http://dbpedia.org/resource/Category:Aston_Villa_F.C._players
http://purl.org/dc/terms/subject,http://dbpedia.org/resource/Category:Cambridge_United_F.C._players
http://purl.org/dc/terms/subject,http://dbpedia.org/resource/Category:English_Football_League_players
http://purl.org/dc/terms/subject,http://dbpedia.org/resource/Category:English_footballers
http://purl.org/dc/terms/subject,http://dbpedia.org/resource/Category:Footballers_from_Derbyshire
http://purl.org/dc/terms/subject,http://dbpedia.org/resource/Category:Living_people
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://dbpedia.org/ontology/Agent
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://dbpedia.org/ontology/Athlete
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://dbpedia.org/ontology/Person
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://dbpedia.org/ontology/SoccerPlayer
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://schema.org/Person
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Thing
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.wikidata.org/entity/Q215627
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.wikidata.org/entity/Q24229398
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.wikidata.org/entity/Q5
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.wikidata.org/entity/Q937857
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://xmlns.com/foaf/0.1/Person
http://www.w3.org/2000/01/rdf-schema#comment,Harvey Andrew Knibbs (born 26 April 1999) is an English professional footballer who plays for League Two club Cambridge United. Knibbs was born and raised in Derbyshire and joined the Nottingham Forest academy as a child before moving to Aston Villa. He signed his first professional contract at the end of the 2016–17 season. In June 2019 Knibbs signed a two-year contract with Cambridge United. On debut for Cambridge Knibbs scored the winning penalty as Championship side Brentford were defeated in the EFL Cup.
http://www.w3.org/2000/01/rdf-schema#label,Harvey Knibbs
http://www.w3.org/2002/07/owl#sameAs,https://global.dbpedia.org/id/AsMae
http://www.w3.org/ns/prov#wasDerivedFrom,http://en.wikipedia.org/wiki/Harvey_Knibbs?oldid=1024516572&ns=0
http://xmlns.com/foaf/0.1/isPrimaryTopicOf,http://en.wikipedia.org/wiki/Harvey_Knibbs
http://xmlns.com/foaf/0.1/name,Harvey Andrew Knibbs
http://xmlns.com/foaf/0.1/name,Harvey Knibbs
