p,o
http://dbpedia.org/ontology/Person/height,177.0
http://dbpedia.org/ontology/abstract,Jack Richard Lankester (born 19 January 2000) is an English professional footballer who plays as a winger for Cambridge United.
http://dbpedia.org/ontology/birthDate,2000-01-19
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Bury_St_Edmunds
http://dbpedia.org/ontology/careerStation,http://dbpedia.org/resource/Jack_Lankester__CareerStation__1
http://dbpedia.org/ontology/careerStation,http://dbpedia.org/resource/Jack_Lankester__CareerStation__2
http://dbpedia.org/ontology/careerStation,http://dbpedia.org/resource/Jack_Lankester__CareerStation__3
http://dbpedia.org/ontology/height,1.77E0
http://dbpedia.org/ontology/number,14
http://dbpedia.org/ontology/position,http://dbpedia.org/resource/Midfielder
http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Bury_Town_F.C.
http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Ipswich_Town_F.C.
http://dbpedia.org/ontology/wikiPageExternalLink,https://www.itfc.co.uk/teams/first-team/midfielder/jack-lankester/
http://dbpedia.org/ontology/wikiPageID,58834600
http://dbpedia.org/ontology/wikiPageLength,10327
http://dbpedia.org/ontology/wikiPageRevisionID,1022598060
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/2018–19_Ipswich_Town_F.C._season
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/2019–20_Ipswich_Town_F.C._season
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/2020–21_Ipswich_Town_F.C._season
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Association_football
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Bristol_Rovers_F.C.
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Bury_St_Edmunds
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Bury_Town_F.C.
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/COVID-19_pandemic
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:2000_births
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:Association_football_wingers
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:Bury_Town_F.C._players
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:English_Football_League_players
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:English_footballers
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:Ipswich_Town_F.C._players
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:Isthmian_League_players
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:Living_people
http://dbpedia.org/ontology/wikiPageWikiLink,"http://dbpedia.org/resource/Category:People_educated_at_King_Edward_VI_School,_Bury_St_Edmunds"
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:Sportspeople_from_Bury_St_Edmunds
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Dagenham_&_Redbridge_F.C.
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/EFL_Championship
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/EFL_Cup
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/EFL_League_One
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/England_national_under-19_football_team
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/FA_Cup
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/FA_Youth_Cup
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Fortuna_Düsseldorf
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Ipswich_Town_F.C.
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Isthmian_League
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Jon_Nolan
http://dbpedia.org/ontology/wikiPageWikiLink,"http://dbpedia.org/resource/King_Edward_VI_School,_Bury_St_Edmunds"
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Max_Ehmer
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Midfielder
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Millwall_F.C.
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Portman_Road
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Queens_Park_Rangers_F.C.
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Shrewsbury_Town_F.C.
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Stadium_of_Light
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Sunderland_A.F.C.
http://dbpedia.org/property/birthDate,2000-01-19
http://dbpedia.org/property/birthPlace,"Bury St Edmunds, England"
http://dbpedia.org/property/caps,28
http://dbpedia.org/property/caps,6
http://dbpedia.org/property/clubUpdate,--03-18
http://dbpedia.org/property/clubnumber,14
http://dbpedia.org/property/clubs,http://dbpedia.org/resource/Ipswich_Town_F.C.
http://dbpedia.org/property/clubs,→ Bury Town
http://dbpedia.org/property/currentclub,http://dbpedia.org/resource/Ipswich_Town_F.C.
http://dbpedia.org/property/fullname,Jack Richard Lankester
http://dbpedia.org/property/goals,3
http://dbpedia.org/property/id,116465
http://dbpedia.org/property/name,Jack Lankester
http://dbpedia.org/property/position,http://dbpedia.org/resource/Midfielder
http://dbpedia.org/property/wikiPageUsesTemplate,http://dbpedia.org/resource/Template:Birth_date_and_age
http://dbpedia.org/property/wikiPageUsesTemplate,http://dbpedia.org/resource/Template:Convert
http://dbpedia.org/property/wikiPageUsesTemplate,http://dbpedia.org/resource/Template:EngvarB
http://dbpedia.org/property/wikiPageUsesTemplate,http://dbpedia.org/resource/Template:Infobox_football_biography
http://dbpedia.org/property/wikiPageUsesTemplate,http://dbpedia.org/resource/Template:Ipswich_Town_F.C._squad
http://dbpedia.org/property/wikiPageUsesTemplate,http://dbpedia.org/resource/Template:Reflist
http://dbpedia.org/property/wikiPageUsesTemplate,http://dbpedia.org/resource/Template:Short_description
http://dbpedia.org/property/wikiPageUsesTemplate,http://dbpedia.org/resource/Template:Soccerbase
http://dbpedia.org/property/wikiPageUsesTemplate,http://dbpedia.org/resource/Template:Updated
http://dbpedia.org/property/wikiPageUsesTemplate,http://dbpedia.org/resource/Template:Use_dmy_dates
http://dbpedia.org/property/years,2018
http://dbpedia.org/property/youthclubs,http://dbpedia.org/resource/Ipswich_Town_F.C.
http://dbpedia.org/property/youthyears,2006
http://purl.org/dc/terms/subject,http://dbpedia.org/resource/Category:2000_births
http://purl.org/dc/terms/subject,http://dbpedia.org/resource/Category:Association_football_wingers
http://purl.org/dc/terms/subject,http://dbpedia.org/resource/Category:Bury_Town_F.C._players
http://purl.org/dc/terms/subject,http://dbpedia.org/resource/Category:English_Football_League_players
http://purl.org/dc/terms/subject,http://dbpedia.org/resource/Category:English_footballers
http://purl.org/dc/terms/subject,http://dbpedia.org/resource/Category:Ipswich_Town_F.C._players
http://purl.org/dc/terms/subject,http://dbpedia.org/resource/Category:Isthmian_League_players
http://purl.org/dc/terms/subject,http://dbpedia.org/resource/Category:Living_people
http://purl.org/dc/terms/subject,"http://dbpedia.org/resource/Category:People_educated_at_King_Edward_VI_School,_Bury_St_Edmunds"
http://purl.org/dc/terms/subject,http://dbpedia.org/resource/Category:Sportspeople_from_Bury_St_Edmunds
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://dbpedia.org/ontology/Agent
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://dbpedia.org/ontology/Athlete
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://dbpedia.org/ontology/Person
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://dbpedia.org/ontology/SoccerPlayer
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://schema.org/Person
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Thing
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.wikidata.org/entity/Q215627
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.wikidata.org/entity/Q24229398
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.wikidata.org/entity/Q5
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.wikidata.org/entity/Q937857
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://xmlns.com/foaf/0.1/Person
http://www.w3.org/2000/01/rdf-schema#comment,Jack Richard Lankester (born 19 January 2000) is an English professional footballer who plays as a winger for Cambridge United.
http://www.w3.org/2000/01/rdf-schema#label,Jack Lankester
http://www.w3.org/2002/07/owl#sameAs,https://global.dbpedia.org/id/634su
http://www.w3.org/ns/prov#wasDerivedFrom,http://en.wikipedia.org/wiki/Jack_Lankester?oldid=1022598060&ns=0
http://xmlns.com/foaf/0.1/isPrimaryTopicOf,http://en.wikipedia.org/wiki/Jack_Lankester
http://xmlns.com/foaf/0.1/name,Jack Lankester
http://xmlns.com/foaf/0.1/name,Jack Richard Lankester
