p,o
http://dbpedia.org/ontology/Person/height,177.0
http://dbpedia.org/ontology/abstract,James Robert Brophy (born 25 July 1994) is an English professional footballer who plays as a defender for League One club Cambridge United.
http://dbpedia.org/ontology/birthDate,1994-07-25
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/London_Borough_of_Brent
http://dbpedia.org/ontology/careerStation,http://dbpedia.org/resource/James_Brophy_(footballer)__CareerStation__2
http://dbpedia.org/ontology/careerStation,http://dbpedia.org/resource/James_Brophy_(footballer)__CareerStation__3
http://dbpedia.org/ontology/careerStation,http://dbpedia.org/resource/James_Brophy_(footballer)__CareerStation__4
http://dbpedia.org/ontology/careerStation,http://dbpedia.org/resource/James_Brophy_(footballer)__CareerStation__5
http://dbpedia.org/ontology/careerStation,http://dbpedia.org/resource/James_Brophy_(footballer)__CareerStation__6
http://dbpedia.org/ontology/careerStation,http://dbpedia.org/resource/James_Brophy_(footballer)__CareerStation__7
http://dbpedia.org/ontology/careerStation,http://dbpedia.org/resource/James_Brophy_(footballer)__CareerStation__8
http://dbpedia.org/ontology/careerStation,http://dbpedia.org/resource/James_Brophy_(footballer)__CareerStation__9
http://dbpedia.org/ontology/height,1.77E0
http://dbpedia.org/ontology/number,16
http://dbpedia.org/ontology/position,http://dbpedia.org/resource/Defender_(association_football)
http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Broadfields_United_F.C.
http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Edgware_Town_F.C.
http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Harrow_Borough_F.C.
http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Leyton_Orient_F.C.
http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Swindon_Town_F.C.
http://dbpedia.org/ontology/wikiPageID,47501024
http://dbpedia.org/ontology/wikiPageLength,8951
http://dbpedia.org/ontology/wikiPageRevisionID,1015679152
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/2014–15_Spartan_South_Midlands_Football_League
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/2015–16_Football_League_Cup
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/2015–16_Swindon_Town_F.C._season
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/2016–17_Swindon_Town_F.C._season
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/2017–18_Swindon_Town_F.C._season
