p,o
http://dbpedia.org/ontology/Person/height,180.0
http://dbpedia.org/ontology/abstract,"Joe Samuel Ironside (born 16 October 1993) is an English professional footballer who plays as a striker for EFL League One club Cambridge United. Ironside started his career at Sheffield United after progressing through their academy. He spent time on loan at FC Halifax Town, Harrogate Town, Alfreton Town and Hartlepool United before signing for Alfreton in 2015."
http://dbpedia.org/ontology/birthDate,1993-10-16
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Middlesbrough
http://dbpedia.org/ontology/careerStation,http://dbpedia.org/resource/Joe_Ironside__CareerStation__1
http://dbpedia.org/ontology/careerStation,http://dbpedia.org/resource/Joe_Ironside__CareerStation__10
http://dbpedia.org/ontology/careerStation,http://dbpedia.org/resource/Joe_Ironside__CareerStation__11
http://dbpedia.org/ontology/careerStation,http://dbpedia.org/resource/Joe_Ironside__CareerStation__12
http://dbpedia.org/ontology/careerStation,http://dbpedia.org/resource/Joe_Ironside__CareerStation__13
http://dbpedia.org/ontology/careerStation,http://dbpedia.org/resource/Joe_Ironside__CareerStation__2
http://dbpedia.org/ontology/careerStation,http://dbpedia.org/resource/Joe_Ironside__CareerStation__3
http://dbpedia.org/ontology/careerStation,http://dbpedia.org/resource/Joe_Ironside__CareerStation__4
http://dbpedia.org/ontology/careerStation,http://dbpedia.org/resource/Joe_Ironside__CareerStation__5
http://dbpedia.org/ontology/careerStation,http://dbpedia.org/resource/Joe_Ironside__CareerStation__6
http://dbpedia.org/ontology/careerStation,http://dbpedia.org/resource/Joe_Ironside__CareerStation__7
http://dbpedia.org/ontology/careerStation,http://dbpedia.org/resource/Joe_Ironside__CareerStation__8
http://dbpedia.org/ontology/careerStation,http://dbpedia.org/resource/Joe_Ironside__CareerStation__9
http://dbpedia.org/ontology/height,1.8E0
http://dbpedia.org/ontology/number,20
http://dbpedia.org/ontology/position,http://dbpedia.org/resource/Forward_(association_football)
http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Alfreton_Town_F.C.
http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Cambridge_United_F.C.
http://dbpedia.org/ontology/team,http://dbpedia.org/resource/England_national_football_C_team
http://dbpedia.org/ontology/team,http://dbpedia.org/resource/FC_Halifax_Town
http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Harrogate_Town_A.F.C.
http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Hartlepool_United_F.C.
http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Kidderminster_Harriers_F.C.
http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Macclesfield_Town_F.C.
http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Nuneaton_Borough_F.C.
http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Sheffield_United_F.C.
http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Sheffield_United_F.C._Academy
http://dbpedia.org/ontology/team,http://dbpedia.org/resource/York_City_F.C.
http://dbpedia.org/ontology/wikiPageExternalLink,http://www.thefa.com/news/2017/jun/02/fa-xi-jersey-fa-report-300517
http://dbpedia.org/ontology/wikiPageExternalLink,http://www.thefa.com/news/2017/may/29/england-c-v-panjab-report-290517
http://dbpedia.org/ontology/wikiPageExternalLink,https://www.mtfc.co.uk/teams/first-team/forward/joe-ironside2/
http://dbpedia.org/ontology/wikiPageID,37360249
http://dbpedia.org/ontology/wikiPageLength,23361
http://dbpedia.org/ontology/wikiPageRevisionID,1022161909
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/2010–11_FA_Youth_Cup
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/2012–13_Sheffield_United_F.C._season
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/2013–14_Football_Conference
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/2013–14_Sheffield_United_F.C._season
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/2014–15_Football_Conference
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/2014–15_Hartlepool_United_F.C._season
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/2014–15_Sheffield_United_F.C._season
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/2015–16_National_League
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/2016–17_National_League
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/2017–18_National_League
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/2018–19_National_League
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/2019–20_Macclesfield_Town_F.C._season
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/2020–21_Cambridge_United_F.C._season
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Alfreton_Town_F.C.
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Association_football
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Birmingham_City_F.C.
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Bramall_Lane
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Cambridge_United_F.C.
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Carlisle_United_F.C.
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:1993_births
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:Alfreton_Town_F.C._players
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:Association_football_forwards
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:English_Football_League_players
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:English_footballers
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:FC_Halifax_Town_players
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:Footballers_from_Middlesbrough
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:Harrogate_Town_A.F.C._players
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:Hartlepool_United_F.C._players
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:Kidderminster_Harriers_F.C._players
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:Living_people
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:Macclesfield_Town_F.C._players
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:National_League_(English_football)_players
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:Nuneaton_Borough_F.C._players
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:Sheffield_United_F.C._players
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:York_City_F.C._players
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/EFL_Cup
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/EFL_League_One
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/EFL_League_One_play-offs
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/EFL_League_Two
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/EFL_Trophy
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/England_national_football_C_team
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/FA_Cup
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/FA_Trophy
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/FA_Youth_Cup
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/FC_Halifax_Town
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Forest_Green_Rovers_F.C.
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Forward_(association_football)
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Goalkeeper_(association_football)
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Grimsby_Town_F.C.
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Harrogate_Town_A.F.C.
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Hartlepool_United_F.C.
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Hyde_United_F.C.
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Ian_Ironside
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Kidderminster_Harriers_F.C.
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Loan_(sports)
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Macclesfield_Town_F.C.
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Manchester_United_F.C.
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Middlesbrough
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/National_League_(division)
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/National_League_North
