p,o
http://dbpedia.org/ontology/Person/height,200.66
http://dbpedia.org/ontology/abstract,"Kai John Oliver Milton McKenzie-Lyle (born 30 November 1997) is a professional footballer who plays for Cambridge United as a goalkeeper. Born in England, he represents Guyana at international level."
http://dbpedia.org/ontology/birthDate,1997-11-30
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/London_Borough_of_Haringey
http://dbpedia.org/ontology/careerStation,http://dbpedia.org/resource/Kai_McKenzie-Lyle__CareerStation__1
http://dbpedia.org/ontology/careerStation,http://dbpedia.org/resource/Kai_McKenzie-Lyle__CareerStation__2
http://dbpedia.org/ontology/careerStation,http://dbpedia.org/resource/Kai_McKenzie-Lyle__CareerStation__3
http://dbpedia.org/ontology/careerStation,http://dbpedia.org/resource/Kai_McKenzie-Lyle__CareerStation__4
http://dbpedia.org/ontology/careerStation,http://dbpedia.org/resource/Kai_McKenzie-Lyle__CareerStation__5
http://dbpedia.org/ontology/careerStation,http://dbpedia.org/resource/Kai_McKenzie-Lyle__CareerStation__6
http://dbpedia.org/ontology/careerStation,http://dbpedia.org/resource/Kai_McKenzie-Lyle__CareerStation__7
http://dbpedia.org/ontology/careerStation,http://dbpedia.org/resource/Kai_McKenzie-Lyle__CareerStation__8
http://dbpedia.org/ontology/careerStation,http://dbpedia.org/resource/Kai_McKenzie-Lyle__CareerStation__9
http://dbpedia.org/ontology/height,2.0066E0
http://dbpedia.org/ontology/number,13
http://dbpedia.org/ontology/position,http://dbpedia.org/resource/Goalkeeper_(association_football)
http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Barnet_F.C.
http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Cambridge_United_F.C.
http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Cockfosters_F.C.
http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Guyana_national_football_team
http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Hayes_&_Yeading_United_F.C.
http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Liverpool_F.C.
http://dbpedia.org/ontology/team,http://dbpedia.org/resource/St_Ives_Town_F.C.
http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Tottenham_Hotspur_F.C.
http://dbpedia.org/ontology/wikiPageID,47801911
http://dbpedia.org/ontology/wikiPageLength,12309
http://dbpedia.org/ontology/wikiPageRevisionID,1015879220
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/2013–14_Football_Conference
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/2014–15_Football_Conference
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/2015–16_Barnet_F.C._season
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/2015–16_Spartan_South_Midlands_Football_League
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/2016–17_Barnet_F.C._season
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/2017_Caribbean_Cup_qualification
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/2017–18_Barnet_F.C._season
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/2017–18_Southern_Football_League
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/2018–19_Liverpool_F.C._season
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/2019–20_Liverpool_F.C._season
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/2020–21_Cambridge_United_F.C._season
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/André_Kamperveen_Stadion
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Association_football
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Barnet_F.C.
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Bishop's_Stortford_F.C.
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Cambridge_United_F.C.
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:1997_births
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:Association_football_goalkeepers
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:Association_football_goalkeepers_who_have_scored
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:Barnet_F.C._players
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:Black_British_sportspeople
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:Cockfosters_F.C._players
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:English_Football_League_players
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:English_footballers
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:English_people_of_Guyanese_descent
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:Footballers_from_the_London_Borough_of_Haringey
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:Guyana_international_footballers
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:Guyanese_footballers
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:Hayes_&_Yeading_United_F.C._players
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:Liverpool_F.C._players
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:Living_people
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:Southern_Football_League_players
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:St_Ives_Town_F.C._players
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Cockfosters_F.C.
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/EFL_Cup
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/EFL_League_Two
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/FA_Cup
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Football_Manager
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Goalkeeper_(association_football)
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Guyana_national_football_team
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Hayes_&_Yeading_United_F.C.
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Herts_Senior_Cup
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Jamaica_national_football_team
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Jamie_Stephens
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/John_Akinde
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Liverpool_F.C.
