p,o
http://dbpedia.org/ontology/Person/height,191.0
http://dbpedia.org/ontology/abstract,Lloyd Richard Jones (born 7 October 1995) is an English professional footballer who plays as a defender for EFL League Two club Cambridge United .
http://dbpedia.org/ontology/birthDate,1995-10-07
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/England_national_football_team
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Plymouth
http://dbpedia.org/ontology/careerStation,http://dbpedia.org/resource/Lloyd_Jones_(English_footballer)__CareerStation__1
http://dbpedia.org/ontology/careerStation,http://dbpedia.org/resource/Lloyd_Jones_(English_footballer)__CareerStation__10
http://dbpedia.org/ontology/careerStation,http://dbpedia.org/resource/Lloyd_Jones_(English_footballer)__CareerStation__11
http://dbpedia.org/ontology/careerStation,http://dbpedia.org/resource/Lloyd_Jones_(English_footballer)__CareerStation__12
http://dbpedia.org/ontology/careerStation,http://dbpedia.org/resource/Lloyd_Jones_(English_footballer)__CareerStation__13
http://dbpedia.org/ontology/careerStation,http://dbpedia.org/resource/Lloyd_Jones_(English_footballer)__CareerStation__14
http://dbpedia.org/ontology/careerStation,http://dbpedia.org/resource/Lloyd_Jones_(English_footballer)__CareerStation__2
http://dbpedia.org/ontology/careerStation,http://dbpedia.org/resource/Lloyd_Jones_(English_footballer)__CareerStation__3
http://dbpedia.org/ontology/careerStation,http://dbpedia.org/resource/Lloyd_Jones_(English_footballer)__CareerStation__4
http://dbpedia.org/ontology/careerStation,http://dbpedia.org/resource/Lloyd_Jones_(English_footballer)__CareerStation__5
http://dbpedia.org/ontology/careerStation,http://dbpedia.org/resource/Lloyd_Jones_(English_footballer)__CareerStation__6
http://dbpedia.org/ontology/careerStation,http://dbpedia.org/resource/Lloyd_Jones_(English_footballer)__CareerStation__7
http://dbpedia.org/ontology/careerStation,http://dbpedia.org/resource/Lloyd_Jones_(English_footballer)__CareerStation__8
http://dbpedia.org/ontology/careerStation,http://dbpedia.org/resource/Lloyd_Jones_(English_footballer)__CareerStation__9
http://dbpedia.org/ontology/height,1.91E0
http://dbpedia.org/ontology/number,28
http://dbpedia.org/ontology/position,http://dbpedia.org/resource/Defender_(association_football)
http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Accrington_Stanley_F.C.
http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Blackpool_F.C.
http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Cheltenham_Town_F.C.
http://dbpedia.org/ontology/team,http://dbpedia.org/resource/England_national_under-19_football_team
http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Liverpool_F.C.
http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Luton_Town_F.C.
http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Northampton_Town_F.C.
http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Plymouth_Argyle_F.C.
http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Swindon_Town_F.C.
http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Wales_national_under-17_football_team
http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Wales_national_under-19_football_team
http://dbpedia.org/ontology/wikiPageExternalLink,http://www.thefa.com/england/all-teams/players%3Fp=355327
http://dbpedia.org/ontology/wikiPageExternalLink,https://www.ntfc.co.uk/teams/first-team/defender/lloyd-jones/
http://dbpedia.org/ontology/wikiPageID,44932387
http://dbpedia.org/ontology/wikiPageLength,19937
http://dbpedia.org/ontology/wikiPageRevisionID,1017135114
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/2014_UEFA_European_Under-19_Championship_elite_round
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/2014–15_Accrington_Stanley_F.C._season
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/2014–15_Cheltenham_Town_F.C._season
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/2014–15_Liverpool_F.C._season
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/2015–16_Blackpool_F.C._season
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/2015–16_Liverpool_F.C._season
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/2016–17_Swindon_Town_F.C._season
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/2017–18_Luton_Town_F.C._season
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/2018–19_Luton_Town_F.C._season
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/2018–19_Plymouth_Argyle_F.C._season
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/2019–20_Luton_Town_F.C._season
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/2019–20_Northampton_Town_F.C._season
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/2020_EFL_League_Two_play-off_Final
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/2020–21_Northampton_Town_F.C._season
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Accrington_Stanley_F.C.
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Association_football
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Blackpool_F.C.
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/COVID-19_pandemic_in_England
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Captain_(association_football)
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:1995_births
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:Accrington_Stanley_F.C._players
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:Association_football_defenders
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:Blackpool_F.C._players
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:Cheltenham_Town_F.C._players
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:England_youth_international_footballers
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:English_Football_League_players
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:English_footballers
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:English_people_of_Welsh_descent
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:Liverpool_F.C._players
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:Living_people
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:Luton_Town_F.C._players
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:Northampton_Town_F.C._players
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:Plymouth_Argyle_F.C._players
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:Sportspeople_from_Plymouth
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:Swindon_Town_F.C._players
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:Wales_youth_international_footballers
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Charlton_Athletic_F.C.
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Cheltenham_Town_F.C.
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Defender_(association_football)
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/EFL_Championship
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/EFL_Cup
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/EFL_League_One
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/EFL_League_Two
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/EFL_Trophy
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/England_national_football_team
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/England_national_under-19_football_team
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/England_national_under-20_football_team
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/English_Football_League
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/FA_Cup
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Fulham_F.C.
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Gillingham_F.C.
http://dbpedia.org/ontology/wikiPageWikiLink,"http://dbpedia.org/resource/Jack_Dunn_(footballer,_born_1994)"
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Jon_Brady
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Keith_Curle
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Kevin_Stewart_(footballer)
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Liverpool_F.C.
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Luton_Town_F.C.
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Macclesfield_Town_F.C.
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Northampton_Town_F.C.
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Oxford_United_F.C.
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Plymouth
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Plymouth_Argyle_F.C.
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Premier_League
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Promotion_and_relegation
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Romania_national_under-20_football_team
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Shutout
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Swindon_Town_F.C.
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Wales_national_football_team
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Wales_national_under-17_football_team
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Wales_national_under-19_football_team
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Wales_national_under-21_football_team
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Wigan_Athletic_F.C.
http://dbpedia.org/property/birthDate,1995-10-07
http://dbpedia.org/property/birthPlace,"Plymouth, England"
http://dbpedia.org/property/caps,0
http://dbpedia.org/property/caps,10
http://dbpedia.org/property/caps,11
http://dbpedia.org/property/caps,22
http://dbpedia.org/property/caps,24
http://dbpedia.org/property/caps,6
http://dbpedia.org/property/caps,7
http://dbpedia.org/property/caps,9
http://dbpedia.org/property/clubUpdate,--04-11
http://dbpedia.org/property/clubnumber,28
http://dbpedia.org/property/clubs,http://dbpedia.org/resource/Liverpool_F.C.
http://dbpedia.org/property/clubs,http://dbpedia.org/resource/Luton_Town_F.C.
http://dbpedia.org/property/clubs,http://dbpedia.org/resource/Northampton_Town_F.C.
http://dbpedia.org/property/clubs,→ Accrington Stanley
http://dbpedia.org/property/clubs,→ Blackpool
http://dbpedia.org/property/clubs,→ Cheltenham Town
http://dbpedia.org/property/clubs,→ Northampton Town
http://dbpedia.org/property/clubs,→ Plymouth Argyle
http://dbpedia.org/property/clubs,→ Swindon Town
http://dbpedia.org/property/currentclub,http://dbpedia.org/resource/Northampton_Town_F.C.
http://dbpedia.org/property/fullname,Lloyd Richard Jones
http://dbpedia.org/property/goals,0
http://dbpedia.org/property/goals,1
http://dbpedia.org/property/goals,2
http://dbpedia.org/property/name,Lloyd Jones
http://dbpedia.org/property/nationalcaps,1
http://dbpedia.org/property/nationalcaps,11
http://dbpedia.org/property/nationalcaps,3
http://dbpedia.org/property/nationalcaps,4
http://dbpedia.org/property/nationalgoals,0
http://dbpedia.org/property/nationalgoals,1
http://dbpedia.org/property/nationalteam,http://dbpedia.org/resource/England_national_under-19_football_team
http://dbpedia.org/property/nationalteam,http://dbpedia.org/resource/England_national_under-20_football_team
http://dbpedia.org/property/nationalteam,http://dbpedia.org/resource/Wales_national_under-17_football_team
