p,o
http://dbpedia.org/ontology/abstract,Mark Bonner (born 23 November 1985) is a football manager who is currently the head coach of Cambridge United.
http://dbpedia.org/ontology/birthDate,1985-11-23
http://dbpedia.org/ontology/careerStation,http://dbpedia.org/resource/Mark_Bonner_(football_manager)__CareerStation__1
http://dbpedia.org/ontology/managerClub,http://dbpedia.org/resource/Cambridge_United_F.C.
http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Cambridge_United_F.C.
http://dbpedia.org/ontology/wikiPageID,65464716
http://dbpedia.org/ontology/wikiPageLength,7024
http://dbpedia.org/ontology/wikiPageRevisionID,1025409737
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/2018–19_EFL_League_Two
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/2019–20_EFL_League_Two
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/2020–21_EFL_League_Two
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Birmingham_City_F.C.
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/COVID-19_pandemic
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Cambridge_United_F.C.
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:1985_births
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:Association_football_coaches
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:Cambridge_United_F.C._managers
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:Cambridge_United_F.C._non-playing_staff
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:English_Football_League_managers
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:English_football_managers
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:Living_people
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Colin_Calderwood
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/EFL_Championship
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/EFL_Cup
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/EFL_League_One
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/EFL_League_Two
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Grimsby_Town_F.C.
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Harrogate_Town_A.F.C.
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Joe_Dunne
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Manager_(association_football)
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Mark_Bonner
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Mick_Halsall
