p,o
http://dbpedia.org/ontology/Person/height,195.57999999999998
http://dbpedia.org/ontology/abstract,Sean Aidan Raggett (born 25 January 1994) is an English and Irish professional footballer who plays as a defender for League One club Portsmouth.
http://dbpedia.org/ontology/birthDate,1994-01-25
http://dbpedia.org/ontology/birthPlace,"http://dbpedia.org/resource/Gillingham,_Kent"
http://dbpedia.org/ontology/careerStation,http://dbpedia.org/resource/Sean_Raggett__CareerStation__1
http://dbpedia.org/ontology/careerStation,http://dbpedia.org/resource/Sean_Raggett__CareerStation__10
http://dbpedia.org/ontology/careerStation,http://dbpedia.org/resource/Sean_Raggett__CareerStation__11
http://dbpedia.org/ontology/careerStation,http://dbpedia.org/resource/Sean_Raggett__CareerStation__12
http://dbpedia.org/ontology/careerStation,http://dbpedia.org/resource/Sean_Raggett__CareerStation__2
http://dbpedia.org/ontology/careerStation,http://dbpedia.org/resource/Sean_Raggett__CareerStation__3
http://dbpedia.org/ontology/careerStation,http://dbpedia.org/resource/Sean_Raggett__CareerStation__4
http://dbpedia.org/ontology/careerStation,http://dbpedia.org/resource/Sean_Raggett__CareerStation__5
http://dbpedia.org/ontology/careerStation,http://dbpedia.org/resource/Sean_Raggett__CareerStation__6
http://dbpedia.org/ontology/careerStation,http://dbpedia.org/resource/Sean_Raggett__CareerStation__7
http://dbpedia.org/ontology/careerStation,http://dbpedia.org/resource/Sean_Raggett__CareerStation__8
http://dbpedia.org/ontology/careerStation,http://dbpedia.org/resource/Sean_Raggett__CareerStation__9
http://dbpedia.org/ontology/height,1.9557999999999998E0
http://dbpedia.org/ontology/number,20
http://dbpedia.org/ontology/position,http://dbpedia.org/resource/Defender_(association_football)
http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Dover_Athletic_F.C.
http://dbpedia.org/ontology/team,http://dbpedia.org/resource/England_national_football_C_team
http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Gillingham_F.C.
http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Herne_Bay_F.C.
http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Lincoln_City_F.C.
http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Norwich_City_F.C.
http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Portsmouth_F.C.
http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Rotherham_United_F.C.
http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Sittingbourne_F.C.
http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Whitstable_Town_F.C.
http://dbpedia.org/ontology/wikiPageID,53230998
http://dbpedia.org/ontology/wikiPageLength,14559
http://dbpedia.org/ontology/wikiPageRevisionID,1024464411
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/2010–11_Football_Conference
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/2011–12_Football_Conference
