p,o
http://dbpedia.org/ontology/Person/height,179.0
http://dbpedia.org/ontology/abstract,Shilow Tracey (born 29 April 1998) is an English professional footballer who plays as a winger for League One club Cambridge United.
http://dbpedia.org/ontology/birthDate,1998-04-29
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/London_Borough_of_Newham
http://dbpedia.org/ontology/careerStation,http://dbpedia.org/resource/Shilow_Tracey__CareerStation__2
http://dbpedia.org/ontology/careerStation,http://dbpedia.org/resource/Shilow_Tracey__CareerStation__3
http://dbpedia.org/ontology/careerStation,http://dbpedia.org/resource/Shilow_Tracey__CareerStation__4
http://dbpedia.org/ontology/careerStation,http://dbpedia.org/resource/Shilow_Tracey__CareerStation__5
http://dbpedia.org/ontology/careerStation,http://dbpedia.org/resource/Shilow_Tracey__CareerStation__6
http://dbpedia.org/ontology/height,1.79E0
http://dbpedia.org/ontology/position,http://dbpedia.org/resource/Midfielder
http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Cambridge_United_F.C.
http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Ebbsfleet_United_F.C.
http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Macclesfield_Town_F.C.
http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Shrewsbury_Town_F.C.
http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Tottenham_Hotspur_F.C.
http://dbpedia.org/ontology/wikiPageID,57590681
http://dbpedia.org/ontology/wikiPageLength,8539
http://dbpedia.org/ontology/wikiPageRevisionID,1025491163
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/2014–15_Football_Conference
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/2015–16_National_League
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/2016–17_National_League
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/2016–17_Tottenham_Hotspur_F.C._season
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/2017–18_EFL_Trophy
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/2018–19_EFL_Trophy
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/2019–20_EFL_Trophy
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/2019–20_Macclesfield_Town_F.C._season
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/2020–21_Cambridge_United_F.C._season
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/2020–21_Shrewsbury_Town_F.C._season
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Association_football
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Cambridge_United_F.C.
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:1998_births
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:Association_football_wingers
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:Black_British_sportspeople
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:Cambridge_United_F.C._players
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:Ebbsfleet_United_F.C._players
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:English_Football_League_players
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:English_footballers
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:Footballers_from_the_London_Borough_of_Newham
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:Living_people
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:Macclesfield_Town_F.C._players
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:Shrewsbury_Town_F.C._players
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:Tottenham_Hotspur_F.C._players
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Charlton_Athletic_F.C.
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Crewe_Alexandra_F.C.
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/EFL_Cup
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/EFL_League_One
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/EFL_League_Two
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/EFL_Trophy
